run,condition,avg_dc,avg_ic,avg_total_dc,avg_total_ic,avg_total_c,avg_perc_junk1,avg_perc_junk2,final_dc,final_ic,final_total_dc,final_total_ic,final_total_c,final_perc_junk1,final_perc_junk2,init_dc,init_ic,init_total_dc,init_total_ic,init_perc_junk1,init_perc_junk2
35.00,0.00,20725241.30,7346005.61,147512827.41,175769379.02,323282206.43,62.74,62.64,33039786.21,21077372.00,157094878.49,185870927.66,342965806.15,61.45,61.72,19433973.33,4955327.08,154433125.99,184286864.12,97.00,93.00
36.00,0.00,20911491.46,7566700.51,147549264.18,175791063.28,323340327.46,62.85,62.62,32755635.33,20740670.82,157039289.07,185837845.25,342877134.32,61.60,61.71,19500832.36,5034550.88,154446205.85,184294648.22,97.00,93.00
37.00,0.00,21843538.19,8671118.11,147731603.73,175899577.29,323631181.02,62.75,62.43,33624802.74,21770580.32,157209327.31,185939038.50,343148365.81,61.49,61.52,20520432.59,6242713.96,154645673.79,184413355.68,97.00,93.00
38.00,0.00,21982827.84,8836167.71,147758853.44,175915794.15,323674647.59,62.82,62.46,33674947.01,21829998.18,157219137.21,185944876.57,343164013.78,61.54,61.57,20319855.50,6005042.53,154606434.20,184390003.40,97.00,93.00
39.00,0.00,21262501.37,7982625.50,147617933.47,175831929.79,323449863.26,62.60,62.55,32822494.36,20819894.63,157052368.93,185845629.35,342897998.28,61.34,61.63,20403429.29,6104072.29,154622784.03,184399733.52,97.00,93.00
40.00,0.00,22394329.26,9323771.39,147839356.90,175963703.41,323803060.31,62.64,62.54,34594258.69,22919325.54,157398985.35,186051907.89,343450893.24,61.42,61.61,21138878.63,6975534.18,154766662.54,184485358.57,97.00,93.00
41.00,0.00,20997453.07,7668559.69,147566081.15,175801071.41,323367152.56,62.87,62.52,33808665.08,21988445.80,157245296.94,185960444.76,343205741.70,61.58,61.59,19300255.27,4796879.46,154406966.26,184271295.93,97.00,93.00
42.00,0.00,21712207.95,8515499.92,147705911.13,175884287.10,323590198.23,62.71,62.53,33691661.77,21849804.13,157222407.17,185946822.60,343169229.77,61.46,61.62,20654150.66,6401161.57,154671833.52,184428923.88,97.00,93.00
43.00,0.00,22270958.43,9177584.60,147815221.43,175949339.90,323764561.33,62.78,62.61,34226534.02,22483594.60,157327046.09,186009095.36,343336141.45,61.52,61.71,21356170.48,7233011.56,154809172.10,184510656.88,97.00,93.00
44.00,0.00,23623261.93,10779980.43,148079777.27,176106782.51,324186559.78,62.79,62.49,35262849.01,23711563.62,157529784.00,186129748.85,343659532.85,61.54,61.59,22710065.87,8837293.67,155074039.37,184668284.83,97.00,93.00
45.00,0.00,22150771.36,9035170.37,147791708.82,175935347.06,323727055.88,62.82,62.63,35095701.43,23513504.10,157497084.34,186110288.61,343607372.95,61.53,61.71,20035704.62,5668341.35,154550844.77,184356920.99,97.00,93.00
46.00,0.00,21351646.75,8088257.24,147635373.29,175842308.58,323477681.87,62.69,62.53,33708376.53,21869610.08,157225677.14,185948768.62,343174445.76,61.46,61.63,20353285.01,6044654.44,154612974.13,184393895.44,97.00,93.00
47.00,0.00,22547149.90,9504854.38,147869253.73,175981495.63,323850749.36,62.88,62.43,34142960.23,22384564.84,157310696.26,185999365.24,343310061.50,61.62,61.53,21255881.94,7114175.84,154789552.31,184498980.74,97.00,93.00
48.00,0.00,23458502.17,10584750.33,148047544.75,176087600.27,324135145.02,62.64,62.55,34393681.60,22681654.12,157359745.76,186028555.60,343388301.36,61.44,61.61,22877213.45,9035353.19,155106739.03,184687745.07,97.00,93.00
49.00,0.00,21381096.56,8123153.44,147641134.66,175845737.29,323486871.95,62.83,62.64,34226534.02,22483594.60,157327046.09,186009095.36,343336141.45,61.56,61.71,20119278.40,5767371.11,154567194.60,184366651.11,97.00,93.00
50.00,0.00,21549836.02,8323099.24,147674145.75,175865382.87,323539528.62,62.70,62.65,34009242.17,22226117.22,157284536.53,185983797.05,343268333.58,61.45,61.77,20002275.10,5628729.44,154544304.84,184353028.94,97.00,93.00
51.00,0.00,23783246.04,10969551.69,148111075.52,176125408.74,324236484.26,62.66,62.48,35028842.40,23434280.29,157484004.47,186102504.52,343586508.99,61.42,61.59,23027646.27,9213606.76,155136168.73,184705259.28,97.00,93.00
52.00,0.00,22361695.68,9285102.63,147832972.68,175959904.03,323792876.71,62.72,62.47,34009242.17,22226117.22,157284536.53,185983797.05,343268333.58,61.46,61.59,21038590.09,6856698.47,154747042.75,184473682.43,97.00,93.00
53.00,0.00,22188180.58,9079497.98,147799027.32,175939702.45,323738729.77,62.59,62.58,34176389.75,22424176.74,157317236.20,186003257.29,343320493.49,61.35,61.66,20687580.17,6440773.48,154678373.46,184432815.92,97.00,93.00
54.00,0.00,23350254.22,10456483.22,148026367.82,176074997.45,324101365.27,62.60,62.69,34644402.97,22978743.40,157408795.25,186057745.96,343466541.21,61.37,61.79,21523318.06,7431071.08,154841871.77,184530117.12,97.00,93.00
55.00,0.00,22685643.61,9668960.84,147896347.74,175997619.83,323893967.57,62.74,62.44,34126245.47,22364758.88,157307426.30,185997419.22,343304845.52,61.49,61.51,21272596.70,7133981.80,154792822.27,184500926.76,97.00,93.00
56.00,0.00,20968003.26,7633663.49,147560319.78,175797642.70,323357962.48,62.82,62.51,33173504.28,21235819.62,157121038.22,185886495.85,343007534.07,61.56,61.56,19734838.97,5311834.21,154491985.38,184321892.56,97.00,93.00
57.00,0.00,23300905.89,10398008.50,148016713.64,176069252.05,324085965.69,62.75,62.57,36081872.14,24682055.27,157690012.34,186225104.03,343915116.37,61.49,61.67,22158478.86,8183697.25,154966130.48,184604066.04,97.00,93.00
58.00,0.00,22911690.81,9936812.76,147940570.14,176023937.49,323964507.63,62.72,62.61,35496855.62,23988846.95,157575563.53,186156993.19,343732556.72,61.47,61.69,21172308.15,7015146.08,154773202.48,184489250.62,97.00,93.00
59.00,0.00,23071674.92,10126384.02,147971868.39,176042563.72,324014432.11,62.77,62.46,34594258.69,22919325.54,157398985.35,186051907.89,343450893.24,61.52,61.56,22225337.89,8262921.06,154979210.35,184611850.13,97.00,93.00
60.00,0.00,21568938.60,8345734.62,147677882.85,175867606.89,323545489.74,62.75,62.46,33424225.64,21532908.90,157170087.72,185915686.21,343085773.93,61.49,61.57,20453573.56,6163490.15,154632593.93,184405571.59,97.00,93.00
61.00,0.00,22824137.32,9833067.30,147923441.74,176013744.03,323937185.77,62.60,62.52,34477255.39,22780683.88,157376095.59,186038285.72,343414381.31,61.36,61.62,21640321.37,7569712.74,154864761.53,184543739.29,97.00,93.00
62.00,0.00,22810606.32,9817033.91,147920794.63,176012168.68,323932963.31,62.81,62.69,35697432.71,24226518.37,157614803.12,186180345.48,343795148.60,61.55,61.79,21523318.06,7431071.08,154841871.77,184530117.12,97.00,93.00
63.00,0.00,21952582.09,8800328.37,147752936.36,175912272.78,323665209.14,62.76,62.55,34443825.87,22741071.97,157369555.65,186034393.68,343403949.33,61.51,61.66,19584406.15,5133580.64,154462555.69,184304378.34,97.00,93.00
64.00,0.00,20864530.95,7511055.21,147540077.13,175785595.88,323325673.01,62.72,62.52,33273792.82,21354655.33,157140658.02,185898172.00,343038830.02,61.46,61.62,19534261.88,5074162.79,154452745.79,184298540.27,97.00,93.00
65.00,0.00,20113162.78,6620730.51,147393084.37,175698117.47,323091201.84,62.70,62.50,32889353.39,20899118.44,157065448.80,185853413.44,342918862.24,61.48,61.60,17344628.60,2479583.08,154024380.21,184043611.12,97.00,93.00
66.00,0.00,22209670.98,9104962.78,147803231.56,175942204.48,323745436.04,62.76,62.59,34076101.20,22305341.03,157297616.40,185991581.15,343289197.55,61.53,61.69,21423029.52,7312235.36,154822251.97,184518440.98,97.00,93.00
67.00,0.00,23200617.34,10279172.79,147997093.84,176057575.90,324054669.74,62.77,62.56,35396567.07,23870011.24,157555943.73,186145317.04,343701260.77,61.50,61.68,22292196.92,8342144.87,154992290.21,184619634.23,97.00,93.00
68.00,0.00,23231659.03,10315955.27,148003166.63,176061189.95,324064356.58,62.81,62.42,34895124.33,23275832.68,157457844.74,186086936.32,343544781.06,61.57,61.52,21640321.37,7569712.74,154864761.53,184543739.29,97.00,93.00
69.00,0.00,22803442.86,9808545.64,147919393.21,176011334.67,323930727.88,62.82,62.60,34794835.79,23156996.96,157438224.95,186075260.18,343513485.13,61.58,61.67,21573462.34,7490488.93,154851681.67,184535955.20,97.00,93.00
70.00,0.00,22215242.57,9111564.76,147804321.55,175942853.15,323747174.70,62.84,62.59,34694547.24,23038161.25,157418605.15,186063584.04,343482189.19,61.57,61.68,20938301.54,6737862.76,154727422.95,184462006.28,97.00,93.00
71.00,0.00,21108088.85,7799656.23,147587725.21,175813952.23,323401677.44,62.66,62.54,33089930.49,21136789.86,157104688.39,185876765.73,342981454.12,61.44,61.61,19567691.40,5113774.69,154459285.72,184302432.32,97.00,93.00
72.00,0.00,23438603.65,10561171.82,148043651.93,176085283.58,324128935.51,62.80,62.63,35513570.37,24008652.90,157578833.49,186158939.21,343737772.70,61.55,61.72,22626492.08,8738263.91,155057689.54,184658554.71,97.00,93.00
73.00,0.00,22980141.72,10017922.85,147953961.43,176031906.92,323985868.35,62.86,62.47,35229419.49,23671951.72,157523244.07,186125856.80,343649100.87,61.57,61.59,21339455.73,7213205.60,154805902.14,184508710.86,97.00,93.00
74.00,0.00,21567346.72,8343848.34,147677571.43,175867421.56,323544992.99,62.77,62.44,33491084.68,21612132.71,157183167.58,185923470.31,343106637.89,61.49,61.54,20888157.26,6678444.90,154717613.05,184456168.21,97.00,93.00
75.00,0.00,22512128.50,9463356.19,147862402.37,175977418.25,323839820.62,62.80,62.36,34694547.24,23038161.25,157418605.15,186063584.04,343482189.19,61.56,61.46,21088734.36,6916116.32,154756852.64,184479520.50,97.00,93.00
76.00,0.00,20854979.66,7499737.52,147538208.58,175784483.87,323322692.45,62.86,62.49,32889353.39,20899118.44,157065448.80,185853413.44,342918862.24,61.58,61.55,19534261.88,5074162.79,154452745.79,184298540.27,97.00,93.00
